label1;label2;label1_2;label2_2;sentence;filename;sentid
3-;;;;Een man die dacht dat hij zorgzaam was , die naar zijn mening de gevoelens van zijn geliefde spaarde en zorgvuldig had vermeden haar te kwetsen , weet tijdens het vertellen van zijn relaas wel beter .;output_part00297.sents.gz;101336_3.p.13.s.2
3;;;;Vega , haar vriend Delph en hond Harry Twee zijn in het Moeras aangekomen .;output_part00078.sents.gz;96704_3.p.3.s.1
1+;;1+;;______________________________________________________________________________________ schrijfstijl De schrijfstijl van Aline is echt heel erg prettig , niks op aan te merken .;output_part00160.sents.gz;108720_3.p.2.s.40
2;;;;Daarnaast lees je uit de verhalen de hongersnood waarover we hier in het Westen soms wel eens iets horen wanneer het over Noord-Korea gaat .;output_part00181.sents.gz;106216_3.p.7.s.4
2+;;2+;;Het verhaal vond ik goed , en naarmate het boek vordert wordt het steeds spannender .;output_part00312.sents.gz;115997_3.p.1.s.6
;;;;Het onderzoek leidt al snel naar een paardenkliniek en vervolgens naar een manège , waar bijna iedereen wel een motief lijkt te hebben om komaf te maken met de mooie Isabel .;output_part00226.sents.gz;98125_3.p.2.s.3
2+;1+;2+;;Het plot is dan ook zeker ijzersterk te noemen en wat mij betreft goed uit een gezet .;output_part00286.sents.gz;104452_3.p.5.s.1
4;;4;;De kaft van het boek geeft het beeld weer van je verwachtingen van een typische voetbalvrouw .;output_part00348.sents.gz;110367_3.p.2.s.1
;;;;Van een (n)iemand tot een rasechte cultheld en dan weer terug , naar af .;output_part00275.sents.gz;106667_3.p.3.s.6
;;;;McDermid moet het antwoord schuldig blijven .;output_part00356.sents.gz;102396_3.p.1.s.16
3;;;;Agnes en Leo worden onderdrukt door hun vader en worstelen beiden met dilemma's .;output_part00270.sents.gz;118355_3.p.3.s.3
3;;;;Zo ontdekt ze echter dat haar man niet is verongelukt , maar koudweg werd vermoord .;output_part00206.sents.gz;115332_3.p.1.s.8
;;;;Deze reactie bevat spoilers , selecteer de tekst om de spoilers te lezen .;output_part00265.sents.gz;112953_3.p.1.s.1
;;;;Al deze info werd me teveel , ik wil graag zelf een boek lezen en op me in laten werken , zonder de mening van een ander te lezen .;output_part00380.sents.gz;99891_3.p.2.s.4
;;;;Langzaamaan raakt ze de grip op haar leven volledig kwijt en veranderd van een sterke vrouw in een wrak dat op instorten staat .;output_part00303.sents.gz;105224_3.p.19.s.5
1+;;2+;;De meeste boeken die ik lees spelen zich af in USA en UK , dus wat dat betreft wat dit een lekkere frisse wind .;output_part00260.sents.gz;96316_3.p.1.s.2
3;;;;TS is de 12-jarige zoon van een rancher in Montana met heimwee naar de tijd van de echte cowboys en een wetenschapster die op zoek is naar een kever waar ze het bestaan van ' weet ' , maar nog niet heeft kunnen aantonen .;output_part00352.sents.gz;113325_3.p.1.s.1
5+;;5+;;' Invocatie ' is een een ambitieus boek .;output_part00131.sents.gz;103764_3.p.9.s.1
;;2;;Ik hoop dat als er ooit een echte biografie over Dafne uit komt , dat we dan meer mogen lezen over haar persoonlijkheid , struggels en drijfveren .;output_part00224.sents.gz;114535_3.p.3.s.9
2-;;2-;;Het verhaal zelf is erg dun en kent weinig actie .;output_part00160.sents.gz;102478_3.p.1.s.4
;;;;Er is ook voor ieder wat wils in het genre .;output_part00201.sents.gz;109946_3.p.1.s.3
;;;;Nieuwe bewoners krijgen namen die op een orginele wijze worden samengesteld .;output_part00082.sents.gz;94248_3.p.2.s.9
;;;;"Ik wil erachter zien te komen waar die vandaan komt , en hem mogelijk zelfs overwinnen . """;output_part00244.sents.gz;94416_3.p.3.s.6
1+;2-;4+;;De illustraties van Floor van het Nederend passen perfect bij de schrijfstijl van Pepijn Lanen en scheppen de sfeer van dit absurde verhaal .;output_part00220.sents.gz;78836_4.p.1.s.7
1+;;5+;;Het wordt mooi verteld en je blijft luisteren omdat je wil weten hoe het afloopt .;output_part00206.sents.gz;49481_4.p.1.s.2
2+;;2;;De spanning wordt daarbij langzaam maar zeker opgevoerd en onwerkelijke gebeurtenissen weten te intrigeren tot en met .;output_part00105.sents.gz;37325_4.p.3.s.2
5+;;5+;1+;Een prachtig boek waarin alle kanten van het leven naar voren komen , met krachtige vertelrijkdom en een glanzende taalbeheersing .;output_part00029.sents.gz;477_4.p.1.s.5
1+;;1;2;Meerdere verhaallijnen dragen bij aan de onderhuidse spanning .;output_part00232.sents.gz;68123_4.p.2.s.1
3;;;;Nephilim Emma Carstairs wil nu , vijf jaar na de gebeurtenissen in het slot van de eerste serie , wraak .;output_part00208.sents.gz;73070_4.p.1.s.4
2+;;2+;;En aan het einde kun je niet wachten om aan het volgende boek te beginnen om erachter te komen hoe het verder gaat .;output_part00318.sents.gz;50166_4.p.4.s.2
;;;;In zijn thuisland verkocht hij 100.000 exemplaren en won hij de Finlandia Prize 2014 .;output_part00115.sents.gz;55333_4.p.1.s.6
5-;;;;Je moet geen smetvrees hebben of aanleg daarvoor om dit boek te kunnen verdragen .;output_part00257.sents.gz;63382_4.p.1.s.1
;;;;Daardoor komt er een kant van zichzelf boven die ze liever niet wil kennen ,;output_part00217.sents.gz;71346_4.p.1.s.7
5;;;;Het hotel biedt Ilja echter zo veel inspiratie dat het boek zich ook over andere zaken uit .;output_part00211.sents.gz;61931_4.p.1.s.4
5;;;;Het boek bevat kerst tips , tips over het aansnijden van vlees , zelf cocktails maken , feestpunches , het verwerken van restjes , het maken van peperkoekhuisje en nog veel meer .;output_part00108.sents.gz;71784_4.p.2.s.1
3;;;;Ze sturen mens achtige robots genaamd Mechs naar Genesis toe om te vechten tegen het leger van Genesis .;output_part00252.sents.gz;90773_4.p.3.s.2
;;;;En legt uit waarom de eerste werken van Hamsun , met name ' Honger ' en ' Pan ' zijn beste zijn .;output_part00090.sents.gz;68235_4.p.4.s.3
5;;5+;;Dit roept zoveel vragen bij je op dat je het boek haast niet meer kunt wegleggen .;output_part00146.sents.gz;34953_4.p.4.s.4
;;4;;Illustratrice Marije Tolman maakt voor haar tekeningen gebruik van verschillende materialen , zoals pen en inkt , aquarelverf , (kleur)potloden , gouache en krijt .;output_part00285.sents.gz;78413_4.p.5.s.1
;;;;Of speelt de eigenlijke auteur van dit verhaal , Kerstin Ekman , een spelletje met je ?;output_part00126.sents.gz;32442_4.p.2.s.5
;;;;De wereld wordt geteisterd , door kwaadaardige wezens en overal ligt het gevaar op de loer .;output_part00328.sents.gz;61000_4.p.3.s.2
;;;;Tijdens het onderzoek naar de moord komt het overlijden van de tieners in de jaren '90 naar voren .;output_part00276.sents.gz;70241_4.p.2.s.7
;;;;Vanuit deze banale positie neemt hij het elitaire kunst- en leeskringwereldje in de vallei op de hak . “;output_part00273.sents.gz;28956_4.p.1.s.49
1-;2;1;2;De pelikaan telt amper 140 pagina’s , maar het verhaal beslaat verschillende jaren .;output_part00139.sents.gz;83882_4.p.2.s.1
2;;;;Een verleden die zich afspeelt tijdens de tweede wereldoorlog .;output_part00058.sents.gz;5583_4.p.2.s.5
;;;;Maar die breuk dompelt hem weer onder in een draaikolk van emoties , want de liefde voor zijn ouders en broertjes is even groot als zijn haat , en zonder hen mist hij elk fundament .;output_part00271.sents.gz;31929_4.p.2.s.7
;;;;Dit is na het proces al eerder gebeurd .;output_part00177.sents.gz;73894_4.p.2.s.3
2-;;2-;;Daardoor ligt de moraal er zeker aan het einde van de roman wat al te dik op .;output_part00164.sents.gz;61371_4.p.4.s.3
;;;;Het is een hele worsteling voor hem om zijn eigen plantage Gamboeng van de grond te krijgen , maar de koppige en rechtlijnige Rudolf zet door .;output_part00194.sents.gz;75239_4.p.1.s.4
;;4+;;Er is veel ruimte voor de schitterende foto’s van Wolffers , voor relevante fragmenten uit de romans van beide auteurs en voor niet eerder gepubliceerde dagboekaantekeningen .;output_part00347.sents.gz;62770_4.p.2.s.2
5;;;;Schildpadden tot in het oneindige is het langverwachte boek van John Green .;output_part00301.sents.gz;73085_4.p.1.s.1
;;;;Ze wil daarom dat haar vader gaat daten zodat hij straks niet alleen achter blijft .;output_part00373.sents.gz;45971_4.p.1.s.8
3;;;;Als Teresa tijdens de zomer opnieuw naar de boerderij gaat , blijkt Bern daar niet meer te wonen .;output_part00047.sents.gz;5813_4.p.4.s.4
2+;;2+;;Dat verhaal is meer dan een thriller .;output_part00249.sents.gz;79195_4.p.1.s.15
;;;;Niemand had ooit zijn appartement gezien .;output_part00033.sents.gz;19609_4.p.2.s.2
;;;;Nu zijn alle romans van Kosztolanyi vertaald .;output_part00227.sents.gz;29756_4.p.3.s.1
;;;;Maar wij zijn wel in staat om zelf voor rechter te spelen , om ons nietsontziend te wreken .;output_part00093.sents.gz;76559_4.p.3.s.4
;;;;Zeker als je als lezer achter de reden van het circus komt : Droesems uitroeien .;output_part00199.sents.gz;55061_4.p.3.s.2
2-;;5-;;Het verhaal is nog niet echt af , maar als er geen vervolg was gekomen , dan was dat ook niet echt een gemis geweest .;output_part00066.sents.gz;21537_4.p.1.s.7
;;;;In de gevangenis wacht op de doodstraf .;output_part00284.sents.gz;44230_4.p.7.s.4
;;;;Hij valt als een blok voor een Ierse vrouw , die in ene klein ziekenhuisje in de stad werkt .;output_part00365.sents.gz;33064_4.p.1.s.4
1+;;2+;;Gavalda houdt de spanning en de vaart er bijzonder goed in .;output_part00107.sents.gz;65905_4.p.11.s.2
;;;;Het vergt heel wat moed en daadkracht , en ze komen erachter dat liefde niet altijd is wat je er zelf van maakt in je hoofd , maar ze hebben uiteindelijk toch de stoute schoenen aangetrokken en die ene keuze gemaakt : ga ervoor , er is niets te verliezen !;output_part00139.sents.gz;24285_4.p.3.s.2
;;;;Een heel land kan verwoest worden door deze raketten .;output_part00302.sents.gz;55477_4.p.1.s.13
5;;;;Rebel is inmiddels het vierde boek in de 100 serie en wordt door Clarke , Wells , Glass en Bellamy verteld .;output_part00346.sents.gz;38692_4.p.1.s.1
3;;;;Op een dag komt Anna thuis en komt ze erachter dat haar broertje er niet meer is .;output_part00277.sents.gz;65034_4.p.3.s.1
4;;4;;"Zowel de omslag als de titel geven me het idee dat het een boek uit mijn moeders jeugd is , al betwijfel ik of ' Justin ' destijds een gebezigde naam was ; - )";output_part00162.sents.gz;48967_4.p.2.s.2
2+;3+;2+;3+;Ik vond zowel het verhaal als haar personages heel geloofwaardig en dat is uiteraard onmisbaar om van een boek te kunnen houden .;output_part00353.sents.gz;28289_4.p.2.s.1
;;;;Voor de buitenwereld houdt ze de schijn op , maar stiekem heeft ze een plan .;output_part00233.sents.gz;68705_4.p.1.s.4
;;;;Tussen de twee slachtoffers lijken geen verbanden te bestaan .;output_part00236.sents.gz;30721_4.p.1.s.5
;;;;En samen schreven ze al drie thrillers in de bejubelde Bergman-kronieken , met de onverbeterlijke rokkenjager Sebastian Bergman als protagonist .;output_part00037.sents.gz;8647_4.p.1.s.3
3;;;;Langzaam begint Tilly Reeve te vertrouwen en laat zij meer los over wat haar is overkomen .;output_part00314.sents.gz;48714_4.p.1.s.6
5-;;5+;;Ik begon er eergisteren in te lezen en gisteren- middag las ik 'm met een brok in mijn keel uit .;output_part00372.sents.gz;40470_4.p.1.s.2
3;;;;Als volwassen man kijkt Fidel , door omstandigheden , terug op deze relatie en gaat op onderzoek uit .;output_part00034.sents.gz;4955_4.p.2.s.2
;;;;Hond krijgt de blinddoek om en Suzie zoekt iets wat vreselijk stinkt .;output_part00357.sents.gz;56419_4.p.2.s.6
3-;;;;"Iets klopte er niet naar mijn idee ; dat de Graces opeens zo ver zouden gaan en zich zo zouden keren tegen hun beste vriendin , was net teveel van het goede .";output_part00333.sents.gz;86625_4.p.4.s.2
1-;;;;Het is een herhaling van het eerste boek met soms schokkerige overgangen .;output_part00087.sents.gz;62425_4.p.1.s.4
3;;;;Fredrik vraagt zich af wat hij zijn dochter Louise moet achterlaten na zijn overlijden .;output_part00045.sents.gz;15267_4.p.6.s.2
2+;;5+;;Het verhaal is origineel en ik heb er echt van genoten .;output_part00124.sents.gz;80835_4.p.1.s.3
3+;;;;De auteur zet hiermee dan ook personages neer van vlees en bloed .;output_part00316.sents.gz;26214_4.p.1.s.7
4;;;;Variaties op hetzelfde thema ...;output_part00097.sents.gz;37477_4.p.1.s.1
1;;;;Het boek bestaat uit twee delen .;output_part00079.sents.gz;80435_4.p.2.s.14
3;;;;Anne en haar echtgenoot worden voor een verjaardagsetentje uitgenodigd bij de bevriende buren .;output_part00315.sents.gz;82104_4.p.1.s.1
;;;;In de cockpit van Mathias zit de lezer voortdurend op de eerste rij , te kijken naar de beslissingen van Matthias , die hij zelf ook zou nemen , als er maar meer tijd was .;output_part00097.sents.gz;54511_4.p.4.s.5
;;;;Ze gingen om die reden samen op zoek naar een mogelijkheid om dagelijks toch de nodige hoeveelheid groente binnen te kunnen krijgen .;output_part00349.sents.gz;29303_4.p.1.s.2
3;;;;Janine wordt ’ s avonds laat opgeschrikt door twee agenten .;output_part00233.sents.gz;26596_4.p.1.s.4
3-;1+;;;Jessy’s avonturen in dit laatste deel van de reeks zijn weinig realistisch , maar dat doet niets af aan de spanning en het leesplezier .;output_part00166.sents.gz;68085_4.p.3.s.5
3-;;;;De relatie tussen Daan en zijn familie is erg onstabiel .;output_part00038.sents.gz;15321_4.p.2.s.2
1+;;2;;Het boek begint met wat een gezellig weekend lijkt voor Lara en Rutger .;output_part00151.sents.gz;52235_4.p.1.s.1
;;;;En uiteraard wilde ik het op de originele manier doen , dat wil zeggen , alles kneden met de handen .;output_part00170.sents.gz;35162_4.p.1.s.5
1-;;2+;;Opeens volgen de ontwikkelingen elkaar in hoog tempo op , de climax dendert als een donderslag bij heldere hemel van de bladzijden , terwijl in de drie delen daarvoor alles zeer langgerekt was en er maar weinig tot niets gebeurde .;output_part00231.sents.gz;22495_4.p.5.s.2
3-;;3-;;Hoewel het ongetwijfeld bedoeld was om de gesprekken natuurlijker te laten overkomen , leek het daardoor juist wat gekunsteld en werd het storend .;output_part00281.sents.gz;59343_4.p.2.s.5
;;;;Het vergt toch altijd weer een bepaald soort moed om aan een GoT boek te beginnen .;output_part00150.sents.gz;43308_4.p.1.s.1
;;1;;De volgorde van de bezochte regio's in het boek verloopt niet helemaal chronologisch , maar dat is niet erg .;output_part00297.sents.gz;85132_4.p.4.s.1
;;;;Ook in Hittegolf bezondigt hij zich weer aan een dergelijke gemakkelijke manier van dramatiek : de ( arme ) zwarte Dante , zo onschuldig als een lam , inwonend bij zijn moeder die verdacht wordt van moord op drie ( rijke ) crack gebruikende blanke jongens .;output_part00206.sents.gz;35548_4.p.3.s.2
2+;;5+;;Een ' fantastisch ' verhaal , om maar in het genre te blijven .;output_part00160.sents.gz;89890_4.p.2.s.5
;;;;Agatha Christie creëerde misschien wel haar ‘ mystery masterpiece ’ met haar elf dagen durende verdwijning .;output_part00285.sents.gz;32698_4.p.1.s.20
;;;;De Duitsers hielpen de Finnen tegen de Sovjet-Unie .;output_part00054.sents.gz;13023_4.p.2.s.4
;;;;Deze wordt nog verder aangewakkerd door het vinden van logboeken gemaakt door de hoofd tuinder John Boase .;output_part00193.sents.gz;49244_4.p.12.s.1
1+;2+;5+;;Wat ik niet had verwacht bij dit boek wat de manier van spanning , ik kan het niet precies omschrijven , maar wat ik wel kan zeggen is dat ik op sommige stukken het boek niet weg kon leggen , het was gewoon te spannend om te stoppen .;output_part00046.sents.gz;4083_4.p.3.s.7
1+;;5+;;Het boek leest meestal als een trein , het verhaal is smakelijk en ondanks de beroerde omstandigheden , met veel humor beschreven .;output_part00316.sents.gz;76671_4.p.4.s.2
;;;;Kortom werderom gewoon goed , zonder ook maar ergens in de buurt te komen van absoluut top .;output_part00344.sents.gz;88615_4.p.1.s.6
;;;;Oorlog , loopgraven , vluchtelingen nu .;output_part00301.sents.gz;72371_4.p.1.s.5
3;;;;We volgen terug het leven van Linnaeus en Solander , het levensverhaal van Lobov tijdens en na de WOII en hoe hij Alma heeft leren kennen .;output_part00124.sents.gz;60897_4.p.2.s.2
;;;;Is hier sprake van de ideale man ?;output_part00298.sents.gz;42948_4.p.1.s.5
4-;;;;De titel van het boek is ongelukkig gekozen , alsof Scott Bloom iets met de dochters van ene Chenchen heeft of doet … Chenchen is daarentegen geen persoon , maar een plaats .;output_part00354.sents.gz;63936_4.p.4.s.1
;;;;Het tweede verhaal in de bundel is Silvanima van Isabel Peters :;output_part00333.sents.gz;88729_4.p.4.s.1
1+;;3;1+;Wanneer zich bij het ene personage iets ongelooflijk spannends afspeelt , maakt Hawkins de subtiele switch naar een ander zodat de spanning er tot de laatste minuut blijft inzitten .;output_part00030.sents.gz;5149_4.p.2.s.5
2;;2;5+;Mafi geeft je een inkijk in hoe moeilijk het leven kan zijn als je niet aan de standaard voldoet en zou daarom alleen al door iedereen gelezen moeten worden .;output_part00264.sents.gz;75443_4.p.5.s.2
1+;;;;Het is niet zozeer de spanning die je overeind houdt maar meer de intelligentie die er achter het denken van Erlendur schuilt .;output_part00061.sents.gz;10997_4.p.3.s.3
2+;;2;;Dan komt het verhaal uit de toekomst ineens toch erg dichtbij het heden , en dat ongemakkelijke idee houdt je als lezer nog wel even bezig;output_part00357.sents.gz;59474_4.p.1.s.26
4;;4;;Titel duidelijk groot vermeld , korte uitleg over het boek en schrijver .;output_part00205.sents.gz;63271_4.p.8.s.5
2+;;2+;;Het verhaal heeft een verrassend slot .;output_part00159.sents.gz;52480_4.p.5.s.3
1+;;1-;5+;Hoewel ik even moest wennen aan de schrijfstijl en aan Britt-Marie , heb ik het boek met een lach en een traan gelezen .;output_part00074.sents.gz;78054_4.p.1.s.1
1+;;5+;;Het boek is goed geschreven , niet overdadig sentimenteel en zelfs met de nodige humor .;output_part00259.sents.gz;80398_4.p.1.s.4
;;;;Hij wordt behoorlijk in de tang gehouden door de heren van het triumviraat en komt tot de ontdekking dat hij inmiddels een flink bedrag op zijn rekening gestort heeft gekregen .;output_part00377.sents.gz;89833_4.p.8.s.3
;;;;Het jezelf verliezen in de zorg .;output_part00114.sents.gz;23215_4.p.1.s.4
1;;;;Zij beschrijft in haar verhalen het leven genadeloos uitgetekend .;output_part00067.sents.gz;22151_4.p.1.s.2
4;;2;;Thema’s die in deze roman een rol spelen zijn verdraagzaamheid , respect , vriendschap , overlevingsdrang , omgaan met snel wijzigende omstandigheden , trouw zijn aan je zelf .;output_part00165.sents.gz;79817_4.p.6.s.1
;;;;Laat ze dan maar eens een spannend boek schrijven dat bij zoveel mensen in de smaak valt .;output_part00295.sents.gz;51364_4.p.1.s.10
;;;;… en waarom hij zo moeilijk te doorgronden is;output_part00264.sents.gz;82113_4.p.4.s.1
3;;;;Na verloop van tijd , als haar oudste zus getrouwd is , raakt Coby bevriend met een aardige jongeman , Rinus .;output_part00210.sents.gz;57678_4.p.1.s.14
2+;;2+;;Wanneer je door de eerste honderd pagina's bent gebeurt er het ene spektakel na het andere en de fantasie die in het verhaal verweven zit is onmiskenbaar .;output_part00231.sents.gz;27710_4.p.2.s.4
5+;;5+;;Sylvain Neuvel heeft zichzelf met dit deel echt overtroffen , niet normaal !?;output_part00030.sents.gz;18381_5.p.4.s.8
2+;;2+;;Zeer spannend en goed in mekaar gezet verhaal waarin het ene nog niet is gebeurd of het andere kondigd zich al aan .;output_part00245.sents.gz;64142_5.p.1.s.1
3;;;;Tristan is jong , soms onverantwoordelijk en dit levert vaak ruzie op tussen de gebroeders .;output_part00207.sents.gz;72071_5.p.1.s.5
2;;;;Het is een verhaal dat in de toekomst misschien wel echt zou kunnen gebeuren … ik moet er niet aan denken .;output_part00078.sents.gz;49322_5.p.1.s.21
;;;;Uit deze bundel leer je bovendien dat ook wanneer de dader reeds overleden is , hij toch voortleeft in de angsten van het slachtoffer .;output_part00170.sents.gz;76648_5.p.8.s.1
3;;;;Maar gedwongen door frontverschuivingen in de Tweede Wereldoorlog verhuizen vader , moeder en Piotr naar een souterrain in een kleine stad , bij de dames Poncka : mysterieuze luxe-prostituees , die voor Piotr een soort engelen lijken , maar soms ook zussen , soms ook ideaalbeelden van schoonheid of van eerste nauwelijks besefte erotische vervoering .;output_part00035.sents.gz;16225_5.p.2.s.3
2+;;2+;;Het verhaal in het verleden wordt zo tergend spannend en goed opgebouwd , waarbij ook volkomen duidelijk gemaakt hoe iemand in zo'n verstikkende relatie wordt gezogen en er uiteindelijk niet meer uit kan . terwijl het verhaal in het nu prachtig beschrijft hoe iemand ocd heeft en wat dat met je doet en de spanning van haar vorige man .;output_part00356.sents.gz;45462_5.p.1.s.5
;;;;Maar hoe kom je aan een dure fiets wanneer zelfs schoenen kopen al niet vanzelfsprekend is ?;output_part00147.sents.gz;50238_5.p.1.s.15
3;;;;Samen met zijn beste vrienden start Kasper een onderzoek , want hij móét weten wat er met hem aan de hand is , en wat hij eraan kan doen .;output_part00324.sents.gz;47430_5.p.2.s.4
;;2+;;Ik was meer dan geraakt en soms bekropen me op een akelig langzame manier de rillingen en voelde ik een ijselijke kou door mijn lijf stromen .;output_part00173.sents.gz;86455_5.p.4.s.5
1+;;;;Als lezer voelt het bij vlagen alsof je zelf aan het gamen bent en bij vlagen alsof je een film aan het kijken bent – wie is er overigens nog aan het uitkijken naar de verfilming van Spielberg ?;output_part00351.sents.gz;34045_5.p.2.s.11
1;;1-;;"Dat niet-spectaculaire effect wordt versterkt door de ongelofelijk onderkoelde en "" stiff upper lip""- achtige , typisch Engelse wijze waarop Stevens herinneringen ophaalt , in bijzonder welgevormde maar ook ongehoord afstandelijke zinnen .";output_part00110.sents.gz;45821_5.p.3.s.2
5+;;;;Met dit boek bewijst de schrijver dat ook dunne boekjes prachtig kunnen zijn .;output_part00136.sents.gz;30825_5.p.1.s.3
;;;;Heel de jacht op de dagers krijgt een oplossing door het stelen van een ring die behoorde tot de overval .;output_part00272.sents.gz;89819_5.p.1.s.14
2-;;2-;;Je moet er dan ook even inkomen , de klik maken dat je geen spannende wendingen tegenkomt .;output_part00306.sents.gz;33190_5.p.1.s.4
5+;;5+;;Zalig om weer zo’n boek in handen te hebben en je weet meteen dat het goed zit .;output_part00104.sents.gz;65629_5.p.2.s.12
;;;;"Ik vond het juist een pluspunt dat er niet "" gerollebold "" werd !";output_part00255.sents.gz;76902_5.p.2.s.5
5+;;5+;2;Een echte aanrader , en ik hoop dat ieder individu en iedere instelling die bestrijding van het terrorisme serieus neemt , dit boek leest en de feiten en tips ter harte neemt !!;output_part00056.sents.gz;6403_5.p.1.s.7
3;;;;Yvonne vermoedt dat er iets goed fout zit met Diego omdat hij al een tijdje geen contact meer gezocht heeft met zijn kinderen en dat is helemaal niets voor hem .;output_part00347.sents.gz;65408_5.p.1.s.4
1+;;;;De schrijfstijl van Van Houten is van hoog niveau en het is haast niet voor te stellen waar ze de scenes die zij in Ruis heeft opgenomen , vandaan haalt .;output_part00112.sents.gz;23356_5.p.5.s.1
;;;;Zullen zij elkaar ooit nog terugzien ?;output_part00253.sents.gz;57861_5.p.4.s.1
3;;;;"Savanne heeft een soort relatie met Finn Rood , "" King of the streets "" niemand waagt het om hem een voet dwars te zetten .";output_part00248.sents.gz;33060_5.p.3.s.3
5+;;5+;;Dit is het eerste boek van een trilogie en ja , ik vond het een mooi boek wat ik met veel plezier heb gelezen .;output_part00124.sents.gz;88110_5.p.1.s.5
;;;;Wie is verantwoordelijk voor de dood van al die mensen en kan nog meer slachtoffers voorkomen worden ?;output_part00155.sents.gz;84772_5.p.1.s.7
3+;;3+;;Vooral de mannelijke personages hebben een donker randje , iets waar ik zelf een zwak voor heb en wat voor mij het leesgenot vergrootte .;output_part00159.sents.gz;78714_5.p.1.s.13
3;;;;De strijd tussen Paulus de Boskabouter en Eucalypta komt zo in een heel ander licht te staan .;output_part00037.sents.gz;15263_5.p.5.s.3
;;;;Ik vond wel dat het daar iets scheef zat want ook adoptieouders hebben een heel proces doorstaan voor ze hun kind in hun armen sluiten .;output_part00346.sents.gz;34172_5.p.2.s.2
3+;;;;Saga Bauer en Joona Linna zijn de perfecte speurders , die elkaar aanvullen in het onderzoek naar het Paganini-contract .;output_part00110.sents.gz;61554_5.p.2.s.1
;;;;Die denkt dat Pol alsnog tot inzicht is gekomen .;output_part00355.sents.gz;38145_5.p.3.s.19
;;;;Door Erik gaan de dieren twijfelen of ze het allemaal wel goed doen volgens Solms , maar de jongen benadrukt steeds dat ze op hun instinct moeten vertrouwen omdat het tot nu toe altijd goed gegaan is en hij ontdekt dat de insecten het zelfs beter doen dan de schrijver van zijn boek beschrijft .;output_part00158.sents.gz;33318_5.p.1.s.9
2;;2;;Hastings begint bij het begin , laat je kennismaken met het land , legt uit hoe angst vanuit het westen voor het communisme voor de Amerikanen reden was deze Franse kolonie aan te vallen .;output_part00165.sents.gz;69073_5.p.2.s.4
;;;;In zijn jeugd was Jan het slachtoffer van een vernederende opvoeding , in zijn schooltijd van onophoudelijke pesterijen , en vandaag van zijn eigen fantasie ...;output_part00308.sents.gz;52638_5.p.1.s.28
3+;;;;Geweldig zijn ook de vele discussies tussen Naphta en Settembrini , twee intellectuelen die beiden een soort mentor willen zijn voor Hans Castorp , maar ook twee intellectuelen met een totaal verschillend wereldbeeld .;output_part00059.sents.gz;13371_5.p.5.s.1
;;;;Je kan al bladwijzers steken bij de dingen die je zeker samen wil gaan doen .;output_part00267.sents.gz;26303_5.p.5.s.4
2+;;;;Het klinkt wellicht een beetje verwarrend , maar dat is het als je aan het lezen bent absoluut niet .;output_part00126.sents.gz;50736_5.p.1.s.15
3-;;;;Ze is de assistente van de bekende radiostem Madeline van het programma Coffee Morning , maar het botert niet tussen de twee , met een dreigend ontslag voor Amber als gevolg .;output_part00334.sents.gz;33325_5.p.2.s.5
1+;3;3+;;In een paar woorden zet hij volledig gevormde personages neer , ontvouwt hij de situatie waarin ze zich bevinden en duidt hij hun gemoedstoestand .;output_part00297.sents.gz;22585_5.p.1.s.19
;;5+;;Top op de bodem is vernieuwend en razend spannend !;output_part00212.sents.gz;41666_5.p.7.s.2
;;;;I found it too tough so ordered the English version , which given the English abilities of the Dutch I recommend .;output_part00092.sents.gz;68872_5.p.1.s.2
5+;;2;5+;Dit boek heeft niet veel bladzijden , speelt zich gedeeltelijk af in de VS en leest heerlijk weg .;output_part00348.sents.gz;43121_5.p.5.s.2
2+;;;;"Verrassend zijn de woorden van Arine bijna aan het einde van het verhaal ; ' Spijt van ons avontuur in Zuid-Afrika heb ik niet .";output_part00121.sents.gz;51524_5.p.3.s.1
5;;;;Al enkele maanden hebben haar fans van het eerste uur vol groeiend ongeduld gewacht op de verschijning van deel twee , De Skinner methode .;output_part00251.sents.gz;62524_5.p.1.s.4
3;;;;Zachary , zelf rouwend om zijn verloren liefde en enigszins emotioneel beschadigd , verzet zich met hand en tand tegen de manipulatieve praktijken van Nora en wenst zich zeker niet persoonlijk te engageren binnen een professionele relatie .;output_part00352.sents.gz;26877_5.p.1.s.3
5+;;5+;;Dit boek neemt je meteen mee !;output_part00041.sents.gz;16115_5.p.1.s.1
4;;4;;Ik lees veel en het valt me op dat de lettergrootte kleiner is dan bij andere boeken .;output_part00160.sents.gz;41310_5.p.6.s.2
;;;;Of eigenlijk aan zijn handen …;output_part00169.sents.gz;87012_5.p.1.s.15
3;;;;Helena haar moeder was op jonge leeftijd ontvoerd door een man die haar gevangen hield in dat moerasgebied .;output_part00162.sents.gz;74226_5.p.1.s.3
;;;;Dat is het probleem met boeken .;output_part00249.sents.gz;79460_5.p.3.s.3
;;;;Soms is ze ronduit gemeen , erg zwart-wit , maar ondertussen , als niemand kijkt , is ze onzeker en angstig .;output_part00178.sents.gz;87208_5.p.5.s.2
5+;;5+;;Deze feestbundel is een unieke gelegenheid om de vorige delen samen te lezen en geeft al een voorproefje van wat er nog te wachten staat .;output_part00276.sents.gz;69949_5.p.1.s.1
