label1,label2,label1,label2,sentence,filename,sentid
3+,,3+,,"De hoofdpersoon in het boek is redelijk goed neergezet , en zo ook haar ouders .",output_part00063.sents.gz,20222_2.p.3.s.1
,,,,"Vanaf de dag dat de beenderen gevonden zijn , voelt Ajuba zich minder op haar gemak bij de familie Venus .",output_part00019.sents.gz,3656_2.p.1.s.11
,,,,"Geschreven door cultuurhistoricus Jacob Slavenburg samen met John van Schaik , kenner van de middeleeuwse mystiek en tevens hoofdredacteur van Bres magazine .",output_part00027.sents.gz,12270_2.p.1.s.1
2,,5,,"Bijvoorbeeld bij het hoofdstuk over relaties wordt er uitgebreid besproken hoe een verkeerde hechting in je kinderjaren een negatieve invloed kan hebben op je relaties , waarna er ook nog een volledig hoofdstuk komt over scheiden .",output_part00022.sents.gz,14562_2.p.1.s.12
3+,,,,"Ook komt onze stoere Robert Langdon weer een leuke jongedame tegen en wederom blijft ie daar met zijn handjes vanaf , wat een heer is dat toch !",output_part00022.sents.gz,7660_2.p.1.s.5
1,2,1,,Gooiend met veel wetenschappelijke termen en processen probeert Sigler de lezers mee te nemen in het zoekproces naar de oplossing van de schaarste in menselijke donororganen .,output_part00001.sents.gz,13712_2.p.1.s.18
2-,,1-,,"De berichtjes over toneelstukken die worden opgevoerd , over lezingen voor belangrijke gezelschappen - ’ t komt allemaal nogal hol over .",output_part00020.sents.gz,18266_2.p.4.s.2
,,1-,,"Omdat de auteurs deze keer  terecht - weinig vertrouwen hebben in de vorm , waarin ze hun ontmythologisering gieten , gebruiken ze regelmatig voetnoten .",output_part00012.sents.gz,12864_2.p.1.s.12
5-,,5-,,Ik vond het boek tegenvallen .,output_part00022.sents.gz,4_2.p.1.s.1
,,1-,,Ik merk ook dat het louter name-droppen van boeken mij meer irriteert dan wat anders .,output_part00009.sents.gz,2694_2.p.1.s.8
2-,,2-,,Er wordt wat rondgeneuzeld op een afgelegen boerderij waarbij het lang duurt ( pas op het eind ) voordat er iets van spanning in het verhaal komt .,output_part00009.sents.gz,18566_2.p.1.s.2
,,1-,,Beschrijvingen in een minimalistisch ritme .,output_part00028.sents.gz,10488_2.p.9.s.6
2,,,,Elk interview is uitgewerkt tot een hoofdstuk in Dochters van Mulan .,output_part00017.sents.gz,3254_2.p.1.s.3
5-,,5-,,"Mmmm , als je de Reizigerserie van haar kent , valt dit toch erg tegen .",output_part00024.sents.gz,12686_2.p.1.s.1
2,5+,1+,,Hun afwezigheid geeft ruimte aan een directheid en donkerte die de franchise goed doen . “,output_part00008.sents.gz,17022_2.p.2.s.1
,,,,"Robert Wilson schrijft met Tot zwijgen gedoemd een vervolg op zijn vorige boek De blinde man van Sevilla , met dezelfde hoofdrolspelers en een hoeveelheid referenties .",output_part00023.sents.gz,13232_2.p.1.s.1
,,,,Of was het toch terecht dat het boek jarenlang ongelezen stond weg te stoffen ?,output_part00020.sents.gz,19494_2.p.2.s.6
2,,2,,De plot van het verhaal wordt pas helemaal op het einde duidelijk .,output_part00003.sents.gz,3850_2.p.1.s.31
5+,,5+,,is niet slecht je je blijft het wel lezen .,output_part00129.sents.gz,95996_3.p.1.s.1
3,,,,Francesca is overstuur omdat ze niet alles onder controle heeft .,output_part00343.sents.gz,94249_3.p.1.s.26
,,3,,"Veel namen Ross introduceert veel , heel veel personages in ‘ De vrienden van Pinochhio ’ .",output_part00340.sents.gz,111888_3.p.3.s.1
2-,,2-,,"Persoonlijk vond ik het einde maar slap , het bouwt goed op naar een apotheose maar valt dan toch in elkaar .",output_part00178.sents.gz,108189_3.p.2.s.10
2-,,2-,,Wanneer de ontknoping eindelijk daar was vond ik deze ook maar wat slapjes .,output_part00336.sents.gz,98625_3.p.2.s.9
,,,,Maar de juiste plaats is een verre reis .,output_part00090.sents.gz,106491_3.p.1.s.7
5-,,5,,"Het boek wordt omschreven als een psychologische thriller , maar maakt die belofte slechts gedeeltelijk waar .",output_part00242.sents.gz,105883_3.p.5.s.1
2,,2+,,"Zenuwslopend vind ik het niet , wel spannend .",output_part00330.sents.gz,93037_3.p.6.s.1
2,,,,Hij wil iets doen aan de sluipende islamisering van Europa .,output_part00196.sents.gz,111027_3.p.1.s.10
,,,,Na vier teleurstellende bezoeken wordt Stella daar eindelijk herkend door een oude vriend .,output_part00279.sents.gz,94433_3.p.4.s.3
,,,,Voor Reeves was dat een reden om jaloers te zijn op haar schrijverschap .,output_part00331.sents.gz,107534_3.p.16.s.11
,,3-,,Op dat punt in het boek gekomen verdwijnt ook de visie van de vrouw ( Kirsten ) vrijwel volledig en verwordt Rabih steeds meer het alter ego van De Botton zelf .,output_part00248.sents.gz,105287_3.p.3.s.9
,,5,,"Het is geen boek om in één ruk uit te lezen , beter is nu en dan een stukje , ... anders riskeer je een "" overdosis kangoeroe "" !",output_part00070.sents.gz,113460_3.p.4.s.2
5,,,,Na rijp beraad geef ik ' Bloed op sneeuw ' drie sterren .,output_part00193.sents.gz,108865_3.p.1.s.1
,,,,En reflecteert daarmee haar onwetendheid en naïviteit .,output_part00075.sents.gz,96774_3.p.6.s.5
1,,5,,"Het boek bestaat uit een aantal delen : Geluiden , Muziek , Lawaai , Stemmen , Stilte .",output_part00123.sents.gz,113822_3.p.3.s.1
,,,,"Natuurlijk wel veel Alice gezien , tekeningen en films , en in boeken gedeeltes gelezen en plaatjes gekeken .",output_part00080.sents.gz,112381_3.p.1.s.3
5+,,2+,,Het verhaal in Een tweede kans leest vlotjes weg .,output_part00249.sents.gz,97930_3.p.4.s.1
2-,,2-,,"Het is alleen jammer dat sommige stukken van het verhaal niet zijn afgemaakt , ( vooral over zijn familie . ) .",output_part00375.sents.gz,93375_3.p.2.s.4
,,2+,,Mooi zijn de stukken over de parelvisserij en de tolheffing die ' de Hollanders ' rekenen voor bescherming ( voor mohammedanen iets meer dan voor christenen ) of de hele gang van zaken rondom het delven van diamanten .,output_part00167.sents.gz,97148_3.p.5.s.2
,,,,Kettingtraktatie Kleine dametjes houden erg van kettingen .,output_part00374.sents.gz,110922_3.p.3.s.1
,,,,Zij kan haar op dat moment echter niet vertellen wat haar man haar heeft gezegd .,output_part00071.sents.gz,104181_3.p.1.s.18
,,,,Alexander ligt in de knoop met het geloof .,output_part00254.sents.gz,116394_3.p.1.s.2
2,,,,"Kenmerkend bijvoorbeeld is hoe hij , ondanks de directieven van zijn homofobe chef , een overduidelijke homoseksuele vader laat lopen .",output_part00246.sents.gz,109157_3.p.5.s.5
,,,,"Nu was het een mooie rondrit , maar niet eentje die me met bonkend hart achterliet",output_part00252.sents.gz,107003_3.p.7.s.4
1,,,,"Een serie die bestaat uit de vier elementen : Water , Lucht , Aarde , Vuur .",output_part00173.sents.gz,97738_3.p.8.s.3
5+,,5+,,Al met al een interessante coming-of -age roman .,output_part00333.sents.gz,92774_3.p.5.s.8
,,,,"Een mooie extra vind ik , hoewel dat voor sommige lezers te moraliserend kan overkomen .",output_part00267.sents.gz,106748_3.p.4.s.2
2-,,2-,,De thematiek is helaas soms te zwaar en te dik aangezet om nog grappen bij te kunnen maken .,output_part00379.sents.gz,109319_3.p.3.s.2
,,2-,,Een stuk van het verrassingselement valt daardoor weg .,output_part00297.sents.gz,93642_3.p.3.s.4
,,,,De beide heren zien alleen het onvermogen van de ander en kunnen geen hand in eigen boezem steken .,output_part00146.sents.gz,113229_3.p.4.s.8
,,,,"Het geeft geen antwoorden op openstaande vragen maar geeft wel de gruwelijke werkelijkheid weer , zowel die in boekvorm als in real life .",output_part00125.sents.gz,112347_3.p.4.s.10
,,,,"De belofte vriendschap blijkt van groot belang , als er in 1697 een beroep op Mare wordt gedaan .",output_part00168.sents.gz,112106_3.p.1.s.6
,,,,"Wie ervoor vecht en wie tot inkeer komt , kan zich verlaten op de liefde van God .",output_part00110.sents.gz,106091_3.p.1.s.23
,,,,888 mensen vormden de originele bemanning van deze missie .,output_part00167.sents.gz,91896_3.p.1.s.8
,,,,Haar blunders nemen echter niet in intensiviteit af .,output_part00118.sents.gz,115398_3.p.1.s.3
,,,,Dankzij Ambo Anthos kreeg ik de kans om ‘ Een schitterende middag ’ vóór publicatie te mogen lezen .,output_part00302.sents.gz,115151_3.p.5.s.1
5-,,5-,,Dit zorgt er absoluut niet voor dat ik met heel veel plezier het boek oppak en dat is toch jammer .,output_part00131.sents.gz,103080_3.p.5.s.11
4+,,5+,,"Van te voren heb ik hoge verwachtingen , aangezien het boek de Boekhandelprijs heeft gewonnen .",output_part00299.sents.gz,115227_3.p.1.s.2
,,,,"Je zou het in zijn omvangrijke en veelzijdige oeuvre van thrillers , historische romans , toneel en boeken over zaken als zeilen , vissen , skiën en TV kijken haast over het hoofd zien , maar John Vermeulen is óók een sciencefictionschrijver .",output_part00234.sents.gz,113574_3.p.1.s.1
,,,,"Als hij op zakenreis is in Thailand , brengt hij een bezoek aan de immense shopping mall Mah Boon Krong in Bangkok .",output_part00113.sents.gz,91543_3.p.1.s.3
5+,1-,2+,1-,"Het verhaal leest makkelijk weg , al zou ik in sommige stukken willen knippen om een paar zinnen te verwijderen ( overbodig ) .",output_part00249.sents.gz,96932_3.p.2.s.2
,,,,Ook was ik benieuwd naar de geschiedenis van Archer en Bree .,output_part00070.sents.gz,99208_3.p.3.s.4
,,,,Dat gaat namelijk veel meer over het volk de Radch en hun expansiepolitiek in de ruimte .,output_part00210.sents.gz,113400_3.p.3.s.5
5+,,5+,,Je moet weten hoe alles in elkaar steekt dit zorgt ervoor dat het boek moeilijk is om weg te leggen .,output_part00180.sents.gz,106392_3.p.3.s.4
,,,,Hoewel haar superieuren telkens weer proberen van haar af te komen en ook haar collega’s niet altijd haar spoor kunnen volgen .,output_part00138.sents.gz,114007_3.p.1.s.6
2,,5,,Dat maakt dit boek een coming-of-age roman .,output_part00204.sents.gz,97789_3.p.1.s.8
,,,,"Radar is Q's andere beste vriend , die wat slimmer is en berichten plaatst op een website die bedoeld is als een parodie op Wikipedia .",output_part00222.sents.gz,97991_3.p.3.s.5
,,,,"Ga gewoon met hem mee waar hij heen gaat , zonder zo nodig van ‘ A ’ naar ‘ B ’ te willen reizen .",output_part00291.sents.gz,116367_3.p.5.s.5
1+,,1+,,De schrijfwijze is vlot en er zit veel snelheid en spanning in .,output_part00189.sents.gz,107753_3.p.1.s.2
,,1+,2-,"Heel literair , en het laat ook wel iets zien over de Chinese manier van denken in metaforen , maar het haalt de vaart uit een toch al traag vertelde verhaal .",output_part00250.sents.gz,113655_3.p.1.s.34
,,,,"Nu ben je van mij ” , fluisterde hij in haar oor .",output_part00375.sents.gz,113228_3.p.5.s.23
,,,,Waarschijnlijk gingen de soldaten uit deze landen meer naar prostituees omdat ze over meer geld beschikten .,output_part00122.sents.gz,106375_3.p.5.s.4
,,,,"Terwijl ze onderweg is naar Nashville , ( ze is weggelopen bij haar oma , om haar moeder te zoeken ) leert ze al snel hoe oneerlijk het leven kan zijn .",output_part00087.sents.gz,116310_3.p.5.s.1
2+,,2+,,Misschien wel want het einde triggert dan toch weer .,output_part00364.sents.gz,114782_3.p.6.s.2
,,,,De kinderen zijn heel lang weg !,output_part00288.sents.gz,91540_3.p.2.s.14
2,5-,2,,"D’Hamecourt put uit verschillende bronnen : vrienden , boeken , interviews , en het resultaat is één lange opsomming van ellende .",output_part00328.sents.gz,101199_3.p.1.s.3
,,,,"IKO , Cinder en de andere helden zijn wederom in gevaar .",output_part00261.sents.gz,118193_3.p.1.s.23
,,,,Ze is echter niet populair en wordt gezien als een zwakke koningin .,output_part00260.sents.gz,110162_3.p.3.s.18
1+,,1+,,Het verhaal is heel goed opgebouwd en langzaam stijgt de spanning en komen er steeds meer vragen naar boven .,output_part00072.sents.gz,114429_3.p.1.s.13
,,,,Maar vermits er stond dat het gerecht exact 15 minuten lang moet koken heb ik het water eerst aan de kook gebracht én het vervolgens meteen over de ingrediënten heen gegoten en deze op het kookvuur geplaatst .,output_part00303.sents.gz,95399_3.p.4.s.2
,,,,"Schrijven zit in je bloed , moet ook Ingrid Oonincx gedacht hebben .",output_part00199.sents.gz,109068_3.p.1.s.1
,,2,,Vooral in het begin van het verhaal .,output_part00100.sents.gz,95940_3.p.1.s.32
,,,,Is zij ooit wel gelukkig met hem geweest ?,output_part00097.sents.gz,117342_3.p.2.s.8
3,,2,,"Het verhaal begint met Sabir , een jonge Nederlandse moslim .",output_part00074.sents.gz,103056_3.p.4.s.1
3-,,,,Helaas houdt de Perzische Judith een veel te hoog James Bond gehalte en blijft haar karakter van bordpapier .,output_part00360.sents.gz,103942_3.p.1.s.18
2-,,,,Ook een ruzie tussen Selma en Marga vanwege een voorval in het verleden is een minpuntje .,output_part00221.sents.gz,117682_3.p.4.s.3
,,,,Ik denk dat de vos Hughes zelf is .,output_part00326.sents.gz,108836_3.p.4.s.4
,,5,,"Deze kwalificatie is nogal overdreven , wat overigens niet wil zeggen dat Adolfssons debuut ondermaats is .",output_part00252.sents.gz,104285_3.p.3.s.2
2-,,5-,,"Aan het einde van de roman was het doorbijten om bij de les te blijven , ze was me helemaal kwijt .",output_part00343.sents.gz,104006_3.p.10.s.3
3,,,,We volgen moeder Emily Coleman die op een ochtend zonder om te kijken haar gezin verlaat .,output_part00305.sents.gz,117669_3.p.2.s.3
,,3-,5-,"De trilogie in zijn geheel is zeker een aanrader , al valt de derde boek een beetje uit de toon door voorspelbaarheid , een gebrek aan ontwikkeling of uitdieping van personages en een déjà vu- gevoel ten opzichte van de eerste twee boeken .",output_part00069.sents.gz,105485_3.p.5.s.1
,,,,"Dit debuut is geschreven door een vrouw , die ondanks haar moeilijke momenten van twijfels en tegenslagen , nog steeds fier overeind staat .",output_part00071.sents.gz,91441_3.p.5.s.3
1+,,1+,,Je vliegt letterlijk door de tekst .,output_part00081.sents.gz,114855_3.p.2.s.11
,,,,Zij moet heel zwakke zenuwen hebben . ” wel wat denken aan Mother Bennet en haar poor nerves uit ‘ Pride and Prejudice ’ van Jane Austen .,output_part00283.sents.gz,98374_3.p.1.s.11
2+,,,,Je wilt wel weten hoe het nu komt dat het schip leeg is als het de haven in stormt .,output_part00235.sents.gz,103726_3.p.3.s.6
5,,2+,,Een verhaal wat nieuwsgierig maakt om verder te lezen en veel vragen oproept die na het lezen van het boek nog niet beantwoord zijn .,output_part00241.sents.gz,111585_3.p.1.s.4
5,,,,"Ik bleef hier te lang hangen omdat ik het persé wilde begrijpen , wat niet lukte .",output_part00344.sents.gz,101279_3.p.1.s.10
2,,2+,,Vooral vriendschap is erg sterk vertegenwoordigd en dat geeft het verhaal een ' feelgood ' sfeertje .,output_part00377.sents.gz,95718_3.p.5.s.3
,,,,Nu zie ik in de recensies dat ik daar gelukkig niet de enige in ben .,output_part00370.sents.gz,111476_3.p.1.s.3
,,2+,,Ik ben benieuwd hoe dit verder gaat en het zit er in dat ik de 2 hieropvolgende boeken te zijner tijd wel zal lezen .,output_part00069.sents.gz,107373_3.p.1.s.40
2-,,2-,,Het herlezen van de proloog brengt enige duidelijkheid maar helder wordt het niet .,output_part00196.sents.gz,107866_3.p.4.s.6
3,,,,"Lotte is getrouwd met Niek , een chirurg .",output_part00247.sents.gz,101591_3.p.3.s.6
2,,,,"En ook natuurlijk over de liefde : de liefde , het dwaze verlangen naar samensmelting op 70-jarige leeftijd .",output_part00323.sents.gz,112848_3.p.3.s.4
2+,,5+,,"Ik ben blij dat ik heb volgehouden , want het laatste kwart is echt de moeite waard .",output_part00205.sents.gz,94760_3.p.2.s.4
,,,,En wellicht nog meer wanneer het een dichter betreft .,output_part00165.sents.gz,118244_3.p.2.s.2
5,,,,Voor elke lezer zal ze een ander gevoel oproepen .,output_part00213.sents.gz,108475_3.p.4.s.1
,,,,"Dit is de eerste losstaande psychologische thriller , welke ik mocht lezen voor de Hebban buzz .",output_part00376.sents.gz,101669_3.p.1.s.3
,,,,"Dr. Rossi werd - naar ik heb begrepen - in de tv-serie ten tonele gevoerd , omdat dat goed was voor de kijkcijfers .",output_part00151.sents.gz,106120_3.p.2.s.9
5,,,,Toch had Rose met dit debuut al de kunst om je als lezer geregeld op het verkeerde been te zetten .,output_part00332.sents.gz,99598_3.p.5.s.1
2+,,2+,,De clifhanger aan het eind van het boek maakt echter veel goed : ik wil toch het tweede deel lezen .,output_part00353.sents.gz,111955_3.p.4.s.4
,,5-,,Maar het is te veel van het goede .,output_part00375.sents.gz,113228_3.p.6.s.30
,,,,3. Voeg de druppels citroensap toe zodra de eiwitten goed stijf zijn ( stijve pieken ) .,output_part00338.sents.gz,92212_3.p.5.s.4
2-,,5-,,Tot zo ver is het allemaal een beetje veel van hetzelfde .,output_part00380.sents.gz,114660_3.p.4.s.1
,,,,Hij zoekt contact met Ellen en hoopt zo het oneindige raadsel op te lossen .,output_part00190.sents.gz,117353_3.p.4.s.12
2+,,2+,,Het was een liefdesverhaal met een heftig thema en dit is op een goede manier ter sprake gebracht zonder in teveel clichés te vervallen .,output_part00108.sents.gz,115146_3.p.1.s.3
,,5,,Het twee maanden geleden verschenen Fatale Zoektocht is het zesde boek in de reeks en de auteur heeft inmiddels al een aardige schare fans weten te verzamelen .,output_part00147.sents.gz,103115_3.p.1.s.3
,,,,Ozzy Osbourne ( Black Sabbath ) piest waar Jones bijstaat op een oorlogsmonument in Texas en wordt prompt in de boeien geslagen .,output_part00141.sents.gz,106447_3.p.1.s.7
,,,,Betekent dat je eerst de andere drie boeken moet lezen ?,output_part00138.sents.gz,91840_3.p.2.s.2
,,,,Natuurlijk moet je bij pretentieloos leesplezier niet te veel eisen stellen .,output_part00235.sents.gz,95854_3.p.1.s.19
,,,,"Hoewel hij erg in zichzelf gekeerd was , wist Julia wat ze aan haar vader had .",output_part00154.sents.gz,86691_4.p.1.s.9
2,,5,,In dit boek maak je met hem zijn vriend de Appalachain Trail mee : een voettocht van 3500 km over bergtoppen n Amerika .,output_part00155.sents.gz,47537_4.p.1.s.3
,,,,Ze wordt steeds angstiger omdat de moordenaar nog niet gepakt is .,output_part00304.sents.gz,37084_4.p.1.s.8
2,3,,,Hoofdinspecteur Versavel valt immers op mannen en ook journalist Michiel Lambrechts heeft een vriend .,output_part00200.sents.gz,23857_4.p.3.s.13
,,,,Hierdoor maak je als YA lezer toch mooi kennis met wat Engelse poezie ...,output_part00182.sents.gz,31305_4.p.1.s.22
5,2,,,"Hoewel Nicci French ook altijd lekker doorleest , als vriendinnen me een titel noemen , moet ik altijd weer even denken , waar het ook weer over ging .",output_part00277.sents.gz,71158_4.p.1.s.3
,,,,De strijd met de 22 oligarchen die 150 miljoen euro opslurpen is een peulenschilletje in vergelijking met het gevecht dat Browder daarna wacht .,output_part00178.sents.gz,61401_4.p.1.s.12
,,,,"Hierdoor dacht ze bijvoorbeeld dat haar dochter , Ruth , niet haar echte dochter was en dat zij de vervanger was en haar echte dochter was ontvoerd .",output_part00287.sents.gz,24169_4.p.2.s.13
5+,,5+,,Dan is Giant Days - Nieuwe vrienden zeker een aanrader !,output_part00209.sents.gz,51642_4.p.7.s.3
,,4,,Op het omslag van Het geheim van Grâce staat dat het een roman is en dat is het ook absoluut .,output_part00289.sents.gz,62869_4.p.1.s.20
2+,,1+,,Zij weet deze onderwerpen zo te presenteren dat ze begrijpbaar worden .,output_part00200.sents.gz,32297_4.p.3.s.5
,,,,Maar de pioniers hebben geen tijd om te luieren .,output_part00348.sents.gz,70364_4.p.3.s.4
5,,5+,,Een apocalyptische thriller die ons aanzet tot kritisch nadenken over geloof en onze kijk er tegenover maar je eveneens ook even goed kan doen ontspannen .,output_part00175.sents.gz,52183_4.p.1.s.2
3,,,,"Misja werd een mythe in het Franse dorp waar hij de herberg erfde en Misja hield zijn enige dochter dicht bij hem , en met haar zijn kleindochters .",output_part00091.sents.gz,70179_4.p.2.s.10
2,,,,Een schokkende ervaring voor mij waren de littekens van Rachella op haar lichaam .,output_part00381.sents.gz,24392_4.p.1.s.8
2,,2-,,Eigenlijk alleen interessant als je interesse hebt in de grondlegger van de Universiteit van Tilburg .,output_part00305.sents.gz,77704_4.p.3.s.1
3,2,,,Hulp biedt zich aan wanneer ze in de bouwmarkt de Nederlandse aannemer Sjoerd tegenkomt Hij kan wel een goede klus kan gebruiken .,output_part00198.sents.gz,36766_4.p.3.s.4
2,,2,,Dit boek laat zien hoe een wellicht onschuldige handeling van een 18 jarige kan leiden tot een ramp .,output_part00093.sents.gz,72569_4.p.4.s.21
2,,,,De ouders lijken na een poosje hun leven weer op te pakken maar Rêve voelt zich schuldig .,output_part00259.sents.gz,58459_4.p.1.s.5
2,3,1,3+,Deze flashbacks zijn bijna opzichzelfstaande verhalen en geven een steeds duidelijker beeld van de hoofdpersoon .,output_part00163.sents.gz,82860_4.p.2.s.2
,,,,Wat hebben de dode mannen met elkaar gemeen ?,output_part00125.sents.gz,48446_4.p.6.s.1
,,,,"Uitvoering Futuro Uitgevers ISBN 9789492221971 , 9789492939081 Paperback , 180 pagina’s",output_part00213.sents.gz,31052_4.p.9.s.1
2,3,3,,Hoe de hoofdpersoon gevangen zit in deze liefde die zij niet zo voelt .,output_part00173.sents.gz,81011_4.p.1.s.2
1,2,,,"In ontwapenende taal , met hier en daar een humoristische kwinkslag , maken we kennis met de vreselijke ziekte die dementie is .",output_part00336.sents.gz,28962_4.p.1.s.6
2-,,1-,,Toch breekt het uiteindelijk op dat er te weinig samenhang is .,output_part00197.sents.gz,87397_4.p.6.s.1
3,,,,"De politie , rechercheur Boyd Fletcher , wordt ingeschakeld om de bedreiger op te sporen .",output_part00345.sents.gz,83081_4.p.1.s.6
,,,,"Dikke merci aan Catelijne en Deborah om op een intelligente , grappige manier mijn kennis en ( slaap- ) kunde te vergroten !",output_part00364.sents.gz,47913_4.p.6.s.1
,,,,De macht van de kalender en de wiskunde die er achter zit is indrukwekkend maar het vergt een sterke mate van repressie om het systeem in stand te houden .,output_part00248.sents.gz,79496_4.p.6.s.3
,,,,Het is duidelijk dat ze de ontreddering nabij is of voorbij is .,output_part00232.sents.gz,77157_4.p.4.s.2
2,,2,,Dat je er toch bij kunt horen als je net iets anders bent dan de ander is het tweede thema van het boek .,output_part00095.sents.gz,85996_4.p.5.s.1
,,,,Ze kunnen trost zijn op dit resultaat .,output_part00155.sents.gz,68998_4.p.3.s.6
,,,,Op een van deze avonden pikt Alexander haar eruit .,output_part00169.sents.gz,65492_4.p.2.s.3
2,3,2,,"Het verhaal gaat over Lauren , ze wordt wakker in een ziekenhuis .Ze kan zich niet herinneren wat er gebeurd is maar wat ze wel weet is dat ze beschuldigd wordt van de moord op haar buurjongen .",output_part00090.sents.gz,51999_4.p.1.s.2
,,,,"Zelf was hij altijd op zoek naar de goedkeuring van zijn moeder , in veel dingen vaak onzeker bij wat hij deed of zei .",output_part00364.sents.gz,33030_4.p.4.s.8
3,,3,,Libby en Jack kunnen toegevoegd worden aan de lijst met personages met bijzondere ziektes .,output_part00101.sents.gz,38292_4.p.1.s.9
,,2,,"Was dit niet gebeurd dan zou er geen verhaal zijn , maar Giles doet wat hij moet doen en laat zich niet tegenhouden door de abt .",output_part00274.sents.gz,54645_4.p.2.s.2
,,,,Helene Hannemann is een Duitse vrouw met vijf kinderen die met een zigeuner is getrouwd .,output_part00213.sents.gz,59742_4.p.2.s.1
2,,,,Dit heeft logischerwijs een behoorlijke impact op haar leven gehad .,output_part00047.sents.gz,8405_4.p.1.s.4
2,,,,"Helaas , de realiteit besliste er anders over .",output_part00183.sents.gz,64201_4.p.1.s.3
,,,,"In het weeshuis groeide ze op samen met een vriendinnetje , Lilly .",output_part00185.sents.gz,37186_4.p.1.s.3
2+,5+,5+,2+,"Ik vond het een leuk , spannend boek.Het was voor mij een onbekende auteur , dus ik was erg nieuwsgierig.Je word in het verhaal meegenomen om de misdaad op te lossen.In het begin vond ik het een beetje moeilijk weg lezen door de vele namen , maar later in het boek kwam dat weer helemaal goed.Een mooi plot.Ik heb het boek verslonden en ga nu ook zeker de andere delen van Piet Baete lezen !",output_part00199.sents.gz,53790_4.p.1.s.1
,,,,"Nu het vervolg in de Mia Krüger en Munch serie , de Doodsvogel .",output_part00351.sents.gz,71875_4.p.1.s.2
,,,,Die wereld met haar familie en Rain Holt ?,output_part00306.sents.gz,79113_4.p.2.s.6
2,,,,"Dat de vriendschap tussen de gepensioneerde juristen Feathers en Veneering gebaseerd is op een heel leven rivaliteit , kom je na een paar alinea’s al te weten door de manier waarop beide mannen elkaar in gedachten beoordelen .",output_part00173.sents.gz,65269_4.p.3.s.3
1,,1+,,"Daardoor is alles in zijn verhalen zeer gedetailleerd , haast filmisch beschreven .",output_part00075.sents.gz,31493_4.p.3.s.10
2+,,,,"Niet alleen voor kinderen en mensen met autisme , maar voor iedereen in het algemeen en dat is altijd een mooie boodschap die de wereld zeker kan gebruiken .",output_part00270.sents.gz,63496_4.p.5.s.7
3,2,,,En hoe minder hij te verliezen heeft ( letterlijk ) hoe meer hij zijn best gaat doen voor zijn omgeving .,output_part00338.sents.gz,87326_4.p.2.s.2
5+,,5+,,The Fault in Our Stars is echt een boek voor mij .,output_part00110.sents.gz,73719_4.p.1.s.1
4+,,4+,,Bij het zien van de vrouw op de cover van Lydia Verleine van Gerrit Sangers wordt je nieuwsgierig naar waarom zij op de cover staat .,output_part00122.sents.gz,51770_4.p.1.s.1
1-,,1-,,Daarvoor heeft hij zijn verhaal net iets te bombastisch gemaakt .,output_part00367.sents.gz,27330_4.p.4.s.5
,,,,"In de VN Detective & Thrillergids stond dit :  De geheimen die ze openbaarden en geloofwaardig documenteerden in hun eersteling Imprimatur , hebben ervoor gezorgd dat de al geplande heiligverklaring van paus Innocentius XI niet doorging en zijzelf niet langer kunnen publiceren in Italië . ",output_part00037.sents.gz,5059_4.p.12.s.1
,,,,En als je niet bepaald een Doutzen Kroes bent is het dus altijd een nachtmerrie .,output_part00193.sents.gz,75367_4.p.1.s.3
,,,,Zij woont sinds kort in West-Berlijn en Julian neemt zich voor haar zijn stad te laten zien en al snel zijn de twee onafscheidelijk .,output_part00298.sents.gz,40150_4.p.3.s.3
2,5+,,,"En ja , wie enkel een boeiend verhaal wil lezen , kan het natuurlijk ook overslaan , al zou ik dat persoonlijk eeuwig zonde vinden …",output_part00075.sents.gz,79026_4.p.3.s.9
,,,,De familie Cazalet is een familie met geheimen en het niet uitgesproken woord .,output_part00185.sents.gz,23789_4.p.1.s.9
,,,,"IJskoud , tweede deel uit de Noordzee moorden serie ,",output_part00164.sents.gz,76612_4.p.1.s.1
2,,2,,Het verhaal deed me qua sfeer een beetje denken aan films als Notting Hill en The Holiday .,output_part00073.sents.gz,58227_4.p.1.s.2
2,3,1,,"Uitgezonderd de proloog is het hele boek geschreven vanuit het perspectief van de  spookman  , een niets ontziende beroepscrimineel .",output_part00039.sents.gz,5113_4.p.1.s.19
2,,,,"Ook bespreekt Lizzy Mason maatschappelijke problemen zoals verslavingen met drank en drugs , het afkicken hiervan en welke littekens deze problemen achterlaten .",output_part00271.sents.gz,43859_4.p.3.s.1
2,3,,,"Ze vallen op elkaar en ze begeren elkaar , maar tegelijkertijd kunnen ze eigenlijk niet samen zijn .",output_part00194.sents.gz,85487_4.p.3.s.2
,,,,Ontroering onder andere wanneer Lucas spreekt over zijn grote vriend Zwiers en zijn ouders met hun buurtsupermarktje .,output_part00374.sents.gz,40204_4.p.1.s.3
,,,,Ze gaat hier zelfs zo ver in dat ze andere mensen manipuleert .,output_part00237.sents.gz,45410_4.p.1.s.5
,,,,Lees meer van mijn recensies op https://rabbitbookz.wordpress.com/,output_part00371.sents.gz,70971_4.p.6.s.1
5+,,5+,,Een bijzonder boek waar ik van heb genoten .,output_part00245.sents.gz,51678_4.p.2.s.15
,,,,Zij zoekt hem op en dwingt hem terug te denken aan wat er zich toen heeft afgespeeld .,output_part00183.sents.gz,82146_4.p.2.s.11
